uq_metric,error_metric,top_fraction,high_error_fraction,n_frames,n_selected,n_high_error,n_high_error_selected,high_error_precision,high_error_recall,enrichment
uq_qbc_for,force_error_max,0.01,0.05,27656,277,1383,190,0.6859205776173285,0.1373825018076645,13.716427689504581
uq_qbc_for,force_error_max,0.05,0.05,27656,1383,1383,747,0.5401301518438177,0.5401301518438177,10.801040838317153
uq_qbc_for,force_error_max,0.1,0.05,27656,2766,1383,1100,0.39768618944323936,0.7953723788864787,7.9525735757355225
uq_qbc_for,force_error_rms,0.01,0.05,27656,277,1383,187,0.6750902527075813,0.13521330441070137,13.499852515459773
uq_qbc_for,force_error_rms,0.05,0.05,27656,1383,1383,763,0.5516992046276211,0.5516992046276211,11.032388433247641
uq_qbc_for,force_error_rms,0.1,0.05,27656,2766,1383,1135,0.4103398409255242,0.8206796818510484,8.205610007690742
uq_rnd_for,force_error_max,0.01,0.05,27656,277,1383,211,0.7617328519855595,0.15256688358640635,15.232453907818245
uq_rnd_for,force_error_max,0.05,0.05,27656,1383,1383,775,0.5603759942154736,0.5603759942154736,11.205899129445507
uq_rnd_for,force_error_max,0.1,0.05,27656,2766,1383,1083,0.3915401301518438,0.7830802603036876,7.829670165928699
uq_rnd_for,force_error_rms,0.01,0.05,27656,277,1383,208,0.7509025270758123,0.15039768618944324,15.015878733773437
uq_rnd_for,force_error_rms,0.05,0.05,27656,1383,1383,769,0.5560375994215474,0.5560375994215474,11.119143781346576
uq_rnd_for,force_error_rms,0.1,0.05,27656,2766,1383,1113,0.40238611713665945,0.8047722342733189,8.046558536176033
uq_rnd_rescaled,force_error_max,0.01,0.05,27656,277,1383,211,0.7617328519855595,0.15256688358640635,15.232453907818245
uq_rnd_rescaled,force_error_max,0.05,0.05,27656,1383,1383,775,0.5603759942154736,0.5603759942154736,11.205899129445507
uq_rnd_rescaled,force_error_max,0.1,0.05,27656,2766,1383,1083,0.3915401301518438,0.7830802603036876,7.829670165928699
uq_rnd_rescaled,force_error_rms,0.01,0.05,27656,277,1383,208,0.7509025270758123,0.15039768618944324,15.015878733773437
uq_rnd_rescaled,force_error_rms,0.05,0.05,27656,1383,1383,769,0.5560375994215474,0.5560375994215474,11.119143781346576
uq_rnd_rescaled,force_error_rms,0.1,0.05,27656,2766,1383,1113,0.40238611713665945,0.8047722342733189,8.046558536176033
uq_llpr_energy_per_atom,energy_error_per_atom_abs,0.01,0.05,27656,277,1383,71,0.2563176895306859,0.05133767172812726,5.125612452393817
uq_llpr_energy_per_atom,energy_error_per_atom_abs,0.05,0.05,27656,1383,1383,141,0.1019522776572668,0.1019522776572668,2.0387506803249247
uq_llpr_energy_per_atom,energy_error_per_atom_abs,0.1,0.05,27656,2766,1383,206,0.07447577729573392,0.14895155459146783,1.489300142365016
uq_dpose_energy_ensemble_std_per_atom,energy_error_per_atom_abs,0.01,0.05,27656,277,1383,60,0.21660649819494585,0.04338394793926247,4.331503480896184
uq_dpose_energy_ensemble_std_per_atom,energy_error_per_atom_abs,0.05,0.05,27656,1383,1383,118,0.08532176428054954,0.08532176428054954,1.7061885126123484
uq_dpose_energy_ensemble_std_per_atom,energy_error_per_atom_abs,0.1,0.05,27656,2766,1383,184,0.06652205350686913,0.13304410701373826,1.3302486708503054
uq_llpr_energy_per_atom,force_error_max,0.01,0.05,27656,277,1383,49,0.17689530685920576,0.035430224150397684,3.53739450939855
uq_llpr_energy_per_atom,force_error_max,0.05,0.05,27656,1383,1383,127,0.0918293564714389,0.0918293564714389,1.8363215347607478
uq_llpr_energy_per_atom,force_error_max,0.1,0.05,27656,2766,1383,208,0.07519884309472162,0.15039768618944324,1.5037593670481715
uq_dpose_energy_ensemble_std_per_atom,force_error_max,0.01,0.05,27656,277,1383,48,0.17328519855595667,0.03470715835140998,3.4652027847169466
uq_dpose_energy_ensemble_std_per_atom,force_error_max,0.05,0.05,27656,1383,1383,118,0.08532176428054954,0.08532176428054954,1.7061885126123484
uq_dpose_energy_ensemble_std_per_atom,force_error_max,0.1,0.05,27656,2766,1383,222,0.08026030368763558,0.16052060737527116,1.6049739398302598
